王磊|成武|人与人|同事|21：00的时候办公室就剩下了王磊和成武两个人。
陈晓晓|严明|人与人|同事|陈晓晓觉得严明的工资不应该比他高，就去找了领导。
邓毅|诸葛瑾|人与人|同事|邓毅和诸葛瑾是同伙一次party建立的合作关系的。
丁侣丽|秦垒垒|人与人|同事|丁侣丽为自己有像秦垒垒这样优秀的战友而感到自豪。
杜子腾|韩友水|人与人|同事|杜子腾今天来的时候看见韩友水在领导办公室作报告。
杜子腾|韩友水|人与人|同事|杜子腾左边坐的就是韩友水，交流起工作来非常方便。
王小可|王小洋|人与人|同事|工作上遇到难题王小洋首先想到的就是找王小可帮忙。
韩浩|张根锡|人与人|同事|韩浩总是仗着自己职高一级让张根锡干一些杂事跑腿。
汪洋|李浩|人与人|同事|河北威县某乡镇领导汪洋雇佣黑帮头目李浩暴力征地。
马云|王辉|人与人|同事|后来的和平年代，王辉一直很想念他当初的好战友马云。
牛瑞|王炳权|人与人|同事|江洋大盗牛瑞伙同王炳权偷盗了皇家的一份重要文件。
李思|刘柱|人与人|同事|今天的工作会议中，李思受到了表扬，刘柱受到了批评。
马云|王辉|人与人|同事|看了这张照片许久，王辉才认出来他当时的战友马云。
颜仲庆|潘因|人与人|同事|可能因为颜仲庆是新人，完全不了解主管潘因的恐怖。
雷兰兰|段丽|人与人|同事|雷兰兰和段丽在这次公司的职位调动中都获得了升职。
张明|李华|人与人|同事|李华和战友张明，在一起完成任务时，配合非常默契。
李锦|夏侯淳|人与人|同事|李锦为了完成领导夏侯淳交代的任务，熬夜啦好几天了。
李明|李聪|人与人|同事|李明在李聪的公厂上班，一个月18000块钱工资。
李淑梅|徐娜|人与人|同事|李淑梅由于公司经济不景气，所以提出和徐娜合作的。
李思|刘柱|人与人|同事|李思和刘柱因为工位挨着的缘故，很快就成为了好朋友。
李宇|张磊|人与人|同事|李宇和张磊在出生入死的战场上结成的友谊是永恒的。
张睿琦|桑瑜赟|人与人|同事|张睿琦这个人一向俯首帖耳,从不敢违背桑瑜赟意图。
郑二丽|王璇|人与人|同事|这次郑二丽和王璇合作，王雪琨起了穿针引线的作用。
蔡芳芳|景雪|人与人|同事|蔡芳芳同情景雪的处境，让她来自己家当保姆补贴家用。
曾明荣|李建|人与人|同事|曾明荣和李建在战友十年聚会上迟到了，被罚了三杯酒。
陈国彪|陈凯玲|人与人|同事|陈国彪为了感谢同事陈凯玲的帮助，邀请她到他家吃饭。
陈维超|陈妮萍|人与人|同事|陈妮萍自己做了一个面包，分了一半给她的同事陈维超。
陈晓晓|严明|人与人|同事|陈晓晓和严明都曾在国旗下发过誓，誓死保卫家国人民。
亓宗宝|马云锋|人与人|同事|从亓宗宝决定招聘马云锋开始，他们就是上下级关系了。
杜子腾|韩友水|人与人|同事|杜子腾和韩友水这对老战友的再次相逢是在十年之后了。
杜子腾|韩友水|人与人|同事|杜子腾烧菜手艺一绝，给韩友水的饭店吸引了很多顾客。
何山|王晓英|人与人|同事|工人王晓英与管理人员何山合作已使产品增加了10％。
李欣|田亮|人与人|同事|公司组织徒步50公里活动，李欣和田亮都报名参加了。
杜子腾|韩友水|人与人|同事|韩友水想换家公司，因为不想天天在公司被杜子腾责骂。
颜仲庆|潘因|人与人|同事|老板颜仲庆毫不迟疑的答应了潘因关于提高薪水的要求。
李达康|张三丰|人与人|同事|李达康背着受伤的张三丰钻进了壕沟躲过了敌军的搜捕。
安娜|李浩|人与人|同事|李浩为了与竞争公司抢一单生意，不惜高价请安娜帮忙。
李明|李聪|人与人|同事|李明和李聪的关系非常好，从他们一起当兵的时候就是。
李明|李聪|人与人|同事|李明退伍了，李聪非常不舍得，他走的时候他们都哭了。
李思|刘柱|人与人|同事|李思每天给刘柱洗车，连用水都要计较，这个老板太抠了。
李思|刘柱|人与人|同事|李思又忘记带饭卡了，所以他就找刘柱借用公司的饭卡了。
李燕|徐淑慧|人与人|同事|李燕说自己以后再也不花钱请徐淑慧来家里打扫卫生了。
玲玲|赵玉广|人与人|同事|玲玲上前和她的雇主说话，但赵玉广不耐烦地不理睬她。
刘山|朱桢|人与人|同事|刘山在医疗部队，朱桢则在特种部队，但他们都是战友啊。
刘伟|王睿|人与人|同事|刘伟犹记得入伍第一天遇到王睿，他穿着军装英姿飒爽。
马云|王辉|人与人|同事|马云搞设计，王辉做开发，两个人一起完成了这项任务。
马云|王辉|人与人|同事|马云和王辉是几十年的老战友了，肝胆相照，生死与共。
李明|李聪|人与人|同事|每次李明工作不顺心都跟李聪说，李聪是个很好的同事。
牛瑞|王炳权|人与人|同事|牛瑞奋不顾身的冲向枪林弹雨想救出自己的班长王炳权。
亓宗宝|马云锋|人与人|同事|亓宗宝对下级马云锋很不满，因为马云锋总爱向他邀功。
齐有功|齐雪琨|人与人|同事|齐有功和齐雪琨是雇佣关系，一个是老板，一个是员工。
石东风|朱太明|人与人|同事|石东风在与朱太明的合作中慢慢的改变了对他的偏见。﻿
孙乐安|陈云|人与人|同事|孙乐安的领导陈云喜欢恶作剧，没事就喜欢逗孙乐安玩。
谭程鹏|朱洪菊|人与人|同事|谭程鹏为人忠诚老实，办事稳妥可靠，深得朱洪菊信任。
马云|王辉|人与人|同事|王辉为人忠诚老实，办事稳妥可靠，深得领导马云信任。
张明|李华|人与人|同事|为了救身处险境的战友张明，李华在战争中不幸牺牲了。
颜仲庆|潘因|人与人|同事|颜仲庆忘不了和潘因在军营中一起吃苦一起欢笑的日子。
张宇|孟磊|人与人|同事|因为不小心打坏了一个盘子,孟磊被张宇骂得狗血喷头。
张燕姿|汪曙光|人与人|同事|在公司年会抽奖环节，张燕姿和汪曙光都抽中了二等奖。
张益达|陈晓鹤|人与人|同事|在抗战时期，张益达曾和陈晓鹤配合炸毁了敌人的碉堡。
张成东|赵胜男|人与人|同事|在校庆期间，张成东和赵胜男合作表演了一个小品节目。
牛瑞|王炳权|人与人|同事|在这家工厂里，牛瑞和王炳权都是车间里最努力的员工。
张国锐|王国发|人与人|同事|张国锐的下属王国发到纪检委应聘，结果竟然应聘上了。
张宏|张瑞|人与人|同事|张宏在公司的就会上，邀请美女同事张瑞一起跳一支舞。
张明|李华|人与人|同事|张明经常性骚扰公司同事李华，还威胁不许李华说出去。
张明|李伟|人与人|同事|张明是个部长，他老婆是副部长，这样的情况真不多见。
张明|李伟|人与人|同事|张明总喜欢跟李伟出去玩，他希望这样能让李伟提拔他。
张文强|吴清林|人与人|同事|张文强的公司自从与吴清林的公司合作后，事业蒸蒸日上。
张文强|吴清林|人与人|同事|张文强和吴清林在工作上是好搭档，一起解决了很多困难。
张文强|吴清林|人与人|同事|张文强作为公司领导，非常关心新员工吴清林的工作情况。
张宇|孟雪|人与人|同事|张宇和孟雪志向远大，合力开办了全国最大的旅游基地。
张志杰|张赵静|人与人|同事|张志杰回忆到，张赵静是经一致同意而当选为领导人的。
王飞|唐静|人与人|同事|这次活动中，唐静负责市场调查，王飞负责和商家谈判。
张宇|孟雪|人与人|同事|众多出色的人中，张宇唯独选了孟雪作为他的合作伙伴。
陈晓晓|严明|人与人|同事|“陈晓晓，你唯一要做的就是服从命令。”严明严肃的说。
车向东|陈潮雄|人与人|同事|陈潮雄主动向领导申请，希望与车向东合作完成这项任务。
陈晓晓|严明|人与人|同事|陈晓晓跟着严明外出打工很多年了，都是严明给他发工资。
陈晓晓|严明|人与人|同事|陈晓晓在公司待了好几年，最后竟然让新来的严明升了职。
李宇|张磊|人与人|同事|仇恨的烈火在战士们心中熊熊燃烧,李宇发誓为张磊复仇。
崔树堂|李达|人与人|同事|崔树堂发现刚发下来的军装有些小，索性就和李达换了换。
杜子腾|韩友水|人与人|同事|杜子腾和韩友水在此次工作考核中，都取得了不错的成绩。
王小可|王小洋|人与人|同事|对于领导王小洋所做出的每一项决定，王小可都是支持的。
牛瑞|王炳权|人与人|同事|多亏了牛瑞和王炳权的精诚合作才能让这次大会圆满成功。
邓毅|诸葛瑾|人与人|同事|儿童关爱基金会组织就是邓毅和诸葛瑾两人一起合资建立的。
